año,municipio,geocode,ocupacion,num_casos
2021,Adeje,20210101_38001_D01_S018,Directores/gerentes y profesionales/técnicos de nivel medio o alto,503
2021,Adeje,20210101_38001_D01_S018,No consta,71
2021,Adeje,20210101_38001_D01_S018,Ocupaciones elementales,73
2021,Adeje,20210101_38001_D01_S018,Trabajadores cualificados y oficiales/operarios de nivel bajo,950
2021,Agulo,20210101_38002_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,99
2021,Agulo,20210101_38002_D01_S001,No consta,18
2021,Agulo,20210101_38002_D01_S001,Ocupaciones elementales,48
2021,Agulo,20210101_38002_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,176
2021,Alajeró,20210101_38003_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,164
2021,Alajeró,20210101_38003_D01_S001,No consta,25
2021,Alajeró,20210101_38003_D01_S001,Ocupaciones elementales,135
2021,Alajeró,20210101_38003_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,465
2021,Arafo,20210101_38004_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,250
2021,Arafo,20210101_38004_D01_S001,No consta,21
2021,Arafo,20210101_38004_D01_S001,Ocupaciones elementales,109
2021,Arafo,20210101_38004_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,464
2021,Arafo,20210101_38004_D01_S002,Directores/gerentes y profesionales/técnicos de nivel medio o alto,156
2021,Arafo,20210101_38004_D01_S002,No consta,20
2021,Arafo,20210101_38004_D01_S002,Ocupaciones elementales,111
2021,Arafo,20210101_38004_D01_S002,Trabajadores cualificados y oficiales/operarios de nivel bajo,344
2021,Arafo,20210101_38004_D01_S003,Directores/gerentes y profesionales/técnicos de nivel medio o alto,247
2021,Arafo,20210101_38004_D01_S003,No consta,28
2021,Arafo,20210101_38004_D01_S003,Ocupaciones elementales,96
2021,Arafo,20210101_38004_D01_S003,Trabajadores cualificados y oficiales/operarios de nivel bajo,370
2021,Arico,20210101_38005_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,49
2021,Arico,20210101_38005_D01_S001,No consta,8
2021,Arico,20210101_38005_D01_S001,Ocupaciones elementales,99
2021,Arico,20210101_38005_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,126
2021,Arico,20210101_38005_D01_S002,Directores/gerentes y profesionales/técnicos de nivel medio o alto,39
2021,Arico,20210101_38005_D01_S002,No consta,7
2021,Arico,20210101_38005_D01_S002,Ocupaciones elementales,92
2021,Arico,20210101_38005_D01_S002,Trabajadores cualificados y oficiales/operarios de nivel bajo,131
2021,Arico,20210101_38005_D01_S003,Directores/gerentes y profesionales/técnicos de nivel medio o alto,84
2021,Arico,20210101_38005_D01_S003,No consta,19
2021,Arico,20210101_38005_D01_S003,Ocupaciones elementales,91
2021,Arico,20210101_38005_D01_S003,Trabajadores cualificados y oficiales/operarios de nivel bajo,239
2021,Arico,20210101_38005_D01_S004,Directores/gerentes y profesionales/técnicos de nivel medio o alto,311
2021,Arico,20210101_38005_D01_S004,No consta,31
2021,Arico,20210101_38005_D01_S004,Ocupaciones elementales,149
2021,Arico,20210101_38005_D01_S004,Trabajadores cualificados y oficiales/operarios de nivel bajo,564
2021,Arico,20210101_38005_D01_S005,Directores/gerentes y profesionales/técnicos de nivel medio o alto,146
2021,Arico,20210101_38005_D01_S005,No consta,23
2021,Arico,20210101_38005_D01_S005,Ocupaciones elementales,170
2021,Arico,20210101_38005_D01_S005,Trabajadores cualificados y oficiales/operarios de nivel bajo,474
2021,Arico,20210101_38005_D01_S006,Directores/gerentes y profesionales/técnicos de nivel medio o alto,37
2021,Arico,20210101_38005_D01_S006,No consta,15
2021,Arico,20210101_38005_D01_S006,Ocupaciones elementales,61
2021,Arico,20210101_38005_D01_S006,Trabajadores cualificados y oficiales/operarios de nivel bajo,150
2021,Arona,20210101_38006_D01_S001,Directores/gerentes y profesionales/técnicos de nivel medio o alto,97
2021,Arona,20210101_38006_D01_S001,No consta,17
2021,Arona,20210101_38006_D01_S001,Ocupaciones elementales,99
2021,Arona,20210101_38006_D01_S001,Trabajadores cualificados y oficiales/operarios de nivel bajo,266
2021,Arona,20210101_38006_D01_S002,Directores/gerentes y profesionales/técnicos de nivel medio o alto,106
